"Population Estimate","","","","","","","","","","","Geography","","","","","Building Estimate","","","","","","Accessibility: Total population - WorldPop (2026)","","","","","","Site Attributes","","","","","","","","","","","","","","",""
"Total population - Meta (2023-04-21)","Total population - WorldPop (2026)","Total population - WorldPop UN (2020)","Total population - Grid3","Total population - Kontur (2023-10-31)","Total women - Meta (2023-04-21)","Total men - Meta (2023-04-21)","Children under 5 - Meta (2023-04-21)","People 15 to 24 - Meta (2023-04-21)","Women 15 to 49 - Meta (2023-04-21)","People 60 and older - Meta (2023-04-21)","Country (Admin 0)","State (Admin 1)","Local government area (Admin 2)","Ward (Admin 3)","Name","OpenStreetMap Buildings (2026-02-20)","Overture Buildings (2026-02-20)","Google Buildings 60+% Confidence (2023-05)","Google Buildings 70+% Confidence (2023-05)","Google Buildings 80+% Confidence (2023-05)","Average Building Footprint (m²) (2023-05)","People within 1hr of driving","People between 1hr - 4hr of driving","People further than 4hr of driving","People within 1hr of walking","People between 1hr - 4hr of walking","People further than 4hr of walking","location_id","facility_level_text","ownership_code","organization_id","nhfr_code","ownership_text","grid3_globalid","facility_level_code","status","country","state","nhfr_uid","lga","lga_location_id","Site Longitude","Site Latitude"
"2345","2120","2341","2761","2484","1173","1173","335","335","670","0","Nigeria","Bauchi","Toro","Palama","Sabon Gari Zakshi Health Post","730","1153","886","700","307","30.33","2120","0","0","2038","82","0","4","Health Post","public","org-4f180bc5-da4a-45a6-8cd5-45c2ec9f3ad3","5","Local Government","4","primary","active","Nigeria","Bauchi","70848283","Toro","nga-ba-5018","9.29674","9.94156"
"3736","2594","2769","3961","3624","1818","1917","575","575","956","0","Nigeria","Bauchi","Toro","Palama","Zakshi Primary Health Care Center","1199","1385","1322","1084","457","33.45","2593","1","0","2290","304","0","Invalid Number","Primary Health Center","public","org-f962411d-0f64-4de1-a074-217faeaef8ed","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","37153488","Toro","nga-ba-5018","9.34628258","9.94121625"
"1867","1551","1430","1882","2075","933","933","267","267","533","0","Nigeria","Bauchi","Toro","Palama","Zari Maku Health Post","541","871","659","528","216","32.96","1551","0","0","1551","0","0","Invalid Number","Health Post","public","org-db89c7ac-0524-4a99-a72e-d14f41c0364d","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","36421978","Toro","nga-ba-5018","9.290031","9.932314"
"2660","3215","3118","4434","3153","1330","1330","380","380","760","0","Nigeria","Bauchi","Toro","Rahama #1","Gana Health Post","928","1317","1433","1225","472","28.96","3144","71","0","2049","1166","0","Invalid Number","Health Post","public","org-d1c84aca-4727-4782-8449-1c6288f7985b","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","48657366","Toro","nga-ba-5018","8.881524","10.43877"
"1968","2070","2047","3091","2624","984","984","281","281","562","0","Nigeria","Bauchi","Toro","Rahama #1","Girkitel Health Post","581","902","1076","932","409","31.81","2070","0","0","1639","431","0","Invalid Number","Health Post","unknown","org-d5d19ebb-6ddf-4fd3-956e-b6a62e714590","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.87625012753","10.4355132907"
"6969","6597","6322","10746","6858","3485","3485","996","996","1991","0","Nigeria","Bauchi","Toro","Rahama #1","Makana Health Post","2590","3771","4081","3511","1606","42.22","6597","0","0","4133","2463","0","Invalid Number","Health Post","public","org-accc5e48-d86f-458d-a371-43f547cbc70b","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.808319","10.508446"
"2778","2008","1688","3082","2858","1389","1389","400","400","790","0","Nigeria","Bauchi","Toro","Rahama #1","Nasarawan Samanja Maternity","506","1030","979","847","410","43.36","2008","0","0","1401","608","0","1","Primary Health Clinic","public","org-1b1693c3-2bbc-42e8-926d-50fc217c9131","5","Local Government","1","primary","active","Nigeria","Bauchi","34006922","Toro","nga-ba-5018","8.795783","10.60073"
"6650","5121","4680","7581","7340","3325","3325","950","950","1900","0","Nigeria","Bauchi","Toro","Rahama #1","Rahama Model Primary Health Center","2129","2763","3231","2881","1651","47.36","5121","0","0","4337","784","0","Invalid Number","Primary Health Center","public","org-f3d81b10-5e9c-472f-b31d-58d4972b52b1","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","39955021","Toro","nga-ba-5018","8.75960499994","10.4529480005"
"2184","1862","1592","2241","2546","1092","1092","316","316","617","0","Nigeria","Bauchi","Toro","Rahama #1","Samanja Health Post","446","718","703","604","250","38.71","1862","0","0","1505","358","0","Invalid Number","Health Post","public","org-cccec3b2-7787-4209-88d5-d1122bc24328","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.808388","10.608824"
"8456","6092","6446","11342","8418","4228","4228","1208","1208","2416","0","Nigeria","Bauchi","Toro","Rahama #1","Wurno Health Post","2611","3556","4125","3623","1999","42.05","6092","0","0","4733","1359","0","200000000","Health Post","public","org-2e08b7b4-099d-4424-863a-15d9b759f4b3","5","Local Government","200000000","primary","active","Nigeria","Bauchi","36694100","Toro","nga-ba-5018","8.82806646903","10.406182598"
"3016","7043","5021","12316","3172","1508","1508","674","390","781","0","Nigeria","Bauchi","Toro","Rauta Geji","Bakin Ruwa Health Post","1","3801","4279","3075","477","17.73","6577","435","31","2203","4439","401","87","Health Post","public","org-87b580d5-f8db-4a85-949a-4e4c3183297d","5","Local Government","87","primary","active","Nigeria","Bauchi","42794640","Toro","nga-ba-5018","9.61043193486","10.6459680566"
